name,openalex_id,decision,reason,chosen_name,orcid,affiliation,member_affiliation,total_works,project_ids
Nyantara Wickramasekera,A5077076014,accept,"Exact name and University of Sheffield affiliation; a coherent health-economics and quality-of-life record with EQ-HWB validation, preference studies, shared decision-making, and regular collaborators Anju Keetharuth and Phil Shackley. This is consistent with the EQ-5D clinical-outcomes project.",Nyantara Wickramasekera,0000-0002-6552-5153,University of Sheffield,,58,2102-RA
Ole Marten,A5033160244,accept,"Exact name and Bielefeld University affiliation. The record directly documents extensive EQ-HWB and EQ-5D research, including EQ-HWB development, valuation, cognitive debriefing, and German elderly-population studies, with core EuroQol coauthors.",Ole Marten,0000-0002-2576-9110,Bielefeld University,Bielefeld University,19,1951-RA;2024-RA;2623-RA
Oliver Rivero-Arias,A5121462085,accept,"Exact name and University of Oxford affiliation. The neonatal and infant-care portfolio coheres with the project on family spillovers in necrotising enterocolitis, and includes a children-and-young-people time-use questionnaire for economic evaluation; no conflicting identity signal is present.",Oliver Rivero-Arias,,University of Oxford,University of Oxford,19,20180240;2021-RA;206-RA
Oriana Ciani,A5008052793,accept,"Exact name and ORCID. The large, coherent health-technology-assessment and health-economics record includes an explicit 2021 EQ-5D-5L value set for Italy and closely related valuation, surrogate-endpoint, and policy research. The early technology papers do not constitute a conflicting identity.",Oriana Ciani,0000-0002-3607-0508,University of Exeter,,259,316-EO
Paul Kind,A5013594779,accept,"Exact name and a highly coherent, extensive EQ-5D record: EQ-5D-5L development and interim scoring, EQ-5D-Y development, UK population health surveys, TTO, and EuroQol tariff studies. The University of Leeds affiliation and collaborators also fit; one old unrelated ophthalmology paper is not substantial contamination.",Paul Kind,0000-0003-2377-1652,University of Leeds,"Health Economics Policy Lab (HEPL), University College London",240,1583-RA;1786-RA;2009018;2010011;2014120;2014220;2015350;2015420;2016050;2016200;20191040;20191050;78-RA
Paul Krabbe,A5061371202,accept,"Name expansion Paul F. M. Krabbe and University Medical Center Groningen match exactly. The record strongly supports EuroQol valuation work, including EuroQol health-state reliability, the Dutch EQ-5D tariff, a European EQ-5D currency, and the international EQ-5D-5L valuation protocol.",Paul F. M. Krabbe,0000-0001-6042-1243,University Medical Center Groningen,University Medical Center Groningen,266,2014150
Patricia Cubi-Molla,A5087726711,accept,"The accented name, Office of Health Economics affiliation, health-economics/QoL focus, and repeated collaboration with EuroQol researchers Nancy Devlin and Paula Lorgelly form a coherent record. Work includes health valuation, EQ-5D-5L comparison, and quality-of-life research.",Patricia Cubí‐Mollá,0000-0002-2803-7337,Office Of Health Economics,,53,2016460;20180190
Paula Lorgelly,A5027424571,accept,"Exact name and University of Auckland affiliation match. Record is coherently health economics and HRQoL, with EQ-5D-5L valuation, EQ-5D instrument validity, EQ-DAPHNIE, long-COVID HRQoL, and health-equity work; Amanda Cole is a frequent collaborator.",Paula Lorgelly,0000-0002-8990-9514,University of Auckland,University of Auckland | Waipapa Taumata Rau,203,1573-RA;1655-EO;1680-RA;1881-RA;20191030;2053-EO;2443-BT;291-RA
Peep Stalmeier,A5013523692,accept,"Exact name and Radboud affiliation align. The record directly includes Dutch EQ-5D tariff work and recent time-trade-off, worse-than-dead, and severe-health-state valuation studies matching the listed valuation projects.",Peep F. M. Stalmeier,0000-0002-7553-562X,Radboud University Nijmegen,Radboudumc,163,115-RA;1487-RA;2013010;2015150
Philip Powell,A5072704582,accept,"Exact name and a strong, coherent health-valuation record: frequent coauthors Jill Carlton, Donna Rowen, and John Brazier, plus work on paediatric quality of life and measuring health-related quality of life in infants and toddlers, fit the listed EQ-VT youth projects.",Philip A. Powell,0000-0003-1169-3431,Philips (Finland),,116,1711-RA;1877-RA;307-RA
Piyameth Dilokthornsakul,A5013970219,accept,"Exact uncommon name with a coherent Thai health-economics and outcomes-research record. The profile is led by health-system/economic-evaluation work and has sustained collaboration with Nathorn Chaiyakunapruk and other Thai health-economics coauthors, consistent with a Thai EQ-5D-Y value-set project.",Piyameth Dilokthornsakul,0000-0002-6981-1771,Nakornping Hospital,,176,1982-VS
Prudence Cheung,A5011025629,accept,"Exact name and University of Hong Kong affiliation fit a coherent paediatric orthopaedics/scoliosis record. It includes EQ-5D-5L validation in Chinese adolescents, EQ-5D-Y questionnaire comparison, and 2025 EQ-5D-Y health-state preference research, directly matching the Youth project.",Prudence Wing Hang Cheung,0000-0002-3213-7373,University of Hong Kong,,117,1808-RA
Rainer Reile,A5036883637,accept,Exact name and Estonian National Institute for Health Development affiliation; the record includes the 2026 Ukrainian-refugee HRQoL-in-Estonia study matching project 1987-SG and coherent Estonian population-health work.,Rainer Reile,0000-0001-9488-887X,National Institute for Health Development,,59,1960-RA;1987-SG;2569-RA;2621-VS
Rebecca Addo,A5005424373,accept,"The UTS health-economics record coherently supports the EQ-5D multilayer project: it includes the matching 2025 conference abstract, Ghana EQ-5D-5L value-set work, and EQ-5D bolt-on research with relevant coauthors.",Rebecca Addo,0000-0002-5970-1122,University of Technology Sydney,,29,1899-RA
Richard Norman,A5101841802,accept,"Exact name, ORCID, and Curtin affiliation align. The dominant record is a coherent health-economics/EQ-5D valuation portfolio, including Australian EQ-5D weights, DCE work, and the Australian 5L value-set study matching his projects.",Richard Norman,0000-0002-3112-3893,Curtin University,Curtin University,468,1578-RA;2015310;2016250;20170410;20170560;83-VS
Rosalie Viney,A5076742980,accept,"Exact UTS affiliation and a coherent health-economics/EQ-5D valuation record. Projects on EQ-5D-5L valuation align with multiple core works (Australian EQ-5D weights, DCE valuation) and frequent EuroQol coauthors including Nancy Devlin and John Brazier.",Rosalie Viney,0000-0002-0039-9635,University of Technology Sydney,University of Technology Sydney,320,148-RA;2015360;2016280
Sander van Kuijk,A5087173002,accept,"The expanded exact name and Maastricht UMC affiliation fit a coherent clinical-epidemiology record. COVID-19 research, quality-of-life outcomes, and health-economic collaborators (including Carmen Dirksen) align with the long-COVID and EQ-5D bolt-on projects. The one 1986 PACS item is isolated, not substantial contamination.",Sander M. J. van Kuijk,0000-0003-2796-729X,Maastricht University Medical Centre,,669,1569-RA;1983-PHD;2368-RA
Sarah Derrett,A5021576811,accept,"Exact University of Otago affiliation and a coherent record in injury outcomes, health-related quality of life, and health systems research. Recent work on generic HRQoL instruments, EQ-5D-5L Nepal adaptation, and content validity directly aligns with the supplied EuroQol projects.",Sarah Derrett,0000-0003-2867-0498,University of Otago,University of Otago,237,1543-RA;1812-PHD;2014190;2015170;2229-TR
Sarah Dewilde,A5043932217,accept,"A coherent health-economics and patient-reported-outcomes record, with recent EQ-5D bolt-on psychometrics work directly matching two supplied projects. Frequent coauthors Mathieu Janssen and Lieven Annemans and work on utilities, stroke, fatigue, and myasthenia support the EuroQol identity.",Sarah Dewilde,0000-0002-7315-3230,Department of Health Services,SHE,85,124-VS;1601-RA;20180640;20180641;2167-RA
Sarega Gurudas,A5067968462,accept,"Moorfields Eye Hospital ophthalmology record is coherent with the vision bolt-on project: nearly all work concerns retinal disease, diabetic retinopathy, vision impairment, and SMART-India, including the SMART-India diabetes vision-prevalence study.",Sarega Gurudas,0000-0002-2656-0570,Moorfields Eye Hospital NHS Foundation Trust,,46,2139-RA
Sayem Ahmed,A5011474576,accept,"The record is a coherent health-economics and global-health portfolio, including quality-of-life, willingness-to-pay, cost-effectiveness, health insurance, and healthcare-system research. Its Nepal hypertension cost-effectiveness protocol supports compatibility with developing a Nepal EQ-5D-5L value set.",Sayem Ahmed,0000-0001-9499-1500,Department of Health and Social Care,,227,2202-VS
Seungjin Bae,A5038405248,accept,"Ewha Womans University record is predominantly coherent in health economics, pharmaceutical policy, and quality-of-life research. Examples include cost-effectiveness, health-care data in South Korea, cancer medicine pricing, biosimilar uptake in Korea, and AI in health-economic evaluation, consistent with a Korean EQ-5D-Y valuation study.",SeungJin Bae,0000-0002-8993-8884,Ewha Womans University,,117,2510-VS
Shankar Prinja,A5071690494,accept,"PGIMER health-economics and health-systems profile is strongly coherent with the India valuation projects. It includes the exact 2022 Value in Health article developing the Indian EQ-5D-5L value set, alongside India-focused economic evaluation and healthcare financing work.",Shankar Prinja,0000-0001-7719-6986,Post Graduate Institute of Medical Education and Research,,324,20170520;2033-RA;2220-VS
Shitong Xie,A5113241600,accept,"This is a coherent health-utility measurement and valuation record with Jing Wu, Feng Xie, and John Brazier. It includes Chinese SF-6Dv2 valuation and psychometrics, EQ-5D-5L population norms and measurement-property comparisons, and adolescent health-measurement work, directly fitting the China EQ-5D-Y projects.",Shitong Xie,,Tianjin University of Science and Technology,,61,2209-RA;2211-RA
Simon Pickard,A5058888906,accept,"A. Simon Pickard at University of Illinois Chicago has a coherent HRQL and health-economics record, with numerous directly relevant EQ-5D valuation, measurement, population-norm, and youth-preference works matching the supplied projects.",A. Simon Pickard,0000-0001-5645-7091,University of Illinois Chicago,University of Illinois - Chicago,306,2014130;2015190;2016090;2016210;2016470;20180080;20180520;20190360;20190410;20190800
Simone Schieskow,A5117152200,accept,"Exact-name Bielefeld University profile with a focused four-work record on EQ-5D-Y measurement, HRQL in infants/toddlers, stakeholder engagement, and EuroQol EQ-TIPS, consistent with the EQ-HWB psychometric project.",Simone Schieskow,,Bielefeld University,"Bielefeld University, School of Public Health, Department of Health Economics and Health Care Management",4,20180450
Soumana Chamoun Nasser,A5029600163,accept,"Soumana C. Nasser at Lebanese American University has a coherent health-economics, pharmaceutical-policy, and quality-of-life record, including EQ-HWB-9 caregiver validity and EQ-HWB pain/discomfort psychometrics that match the supplied project.",Soumana C. Nasser,0000-0003-4202-7116,Lebanese American University,,38,2585-RA
Stefan Lipman,A5078862538,accept,"Stefan A. Lipman's health-economics record directly covers EQ-5D-Y valuation perspectives, time trade-off, states worse than dead, and the Netherlands EQ-5D-Y-3L value set; it closely matches the listed valuation and youth projects.",Stefan A. Lipman,0000-0002-8784-9650,National Institute for Public Health and the Environment,"Erasmus School of Health Policy & Management (ESHPM), Erasmus University Rotterdam",56,120-RA;1783-RA;1992-RA;20190080R1;20190860;20190890;205-RA;2404-RA;245-RA;416-RA;417-RA
Stella Heemskerk,A5025807986,accept,"Exact Stella C. M. Heemskerk at Erasmus MC. The clinical outcomes/cost-effectiveness record is coherent, including long-COVID quality-of-life studies and work with health-economics coauthors such as Haagsma and Dirksen, consistent with the Dutch EQ-TIPS project.",Stella C M Heemskerk,0000-0002-1320-8084,Erasmus MC,,13,2638-RA
Stephen Coons,A5052220528,accept,"Exact Stephen Joel Coons at Critical Path Institute. Extensive patient-reported-outcome and EQ-5D measurement record, including US EQ-5D valuation, EQ-5D/SF-12 comparison, and the ISPOR report on electronic-versus-paper PRO measurement equivalence.",Stephen Joel Coons,0000-0001-7977-5156,Critical Path Institute,,203,2014180
Stevanus Pangestu,A5033743427,accept,"Exact Stevanus Pangestu at Corvinus University of Budapest. Recent work directly matches the listed EQ projects: EQ-5D-5L bolt-ons, child/adult EQ-5D-Y-3L composite TTO, EQ-HWB, and health-related quality of life; sustained collaboration with Fanni Rencz supports the identity.",Stevanus Pangestu,0000-0003-2546-9449,Corvinus University of Budapest,,36,1883-RA;2003-RA;2323-RA;2500-RA
Stirling Bryan,A5015667412,accept,"Exact Stirling Bryan with a large, coherent health-economics and quality-of-life record. It includes the Canadian EQ-5D-5L value set and current patient-reported-outcome work on hospital readmission, directly consistent with the two British Columbia projects.",Stirling Bryan,0000-0001-7093-3058,Vancouver Coastal Health,University of British Columbia,367,164-RA;1787-RA
Suzana Karim,A5003389681,accept,"University of Dhaka profile directly matches her valuation projects through Peru EQ-5D-5L preference heterogeneity, Dutch EQ-5D-5L valuation, and related discrete-choice work; the coherent coauthor network includes Benjamin M. Craig.",Suzana Karim,0000-0002-3370-1554,University of Dhaka,,6,138-RA;139-RA;20190230R1
Taavi Lai,A5109074641,accept,"The record is coherently Estonia-focused and health-policy/quality-of-life oriented: it includes Estonian PDQ-39 validation, Estonian alcohol-control cost-effectiveness, and recent health-related quality-of-life work among Ukrainian refugees in Estonia.",Taavi Lai,,The Fourth People's Hospital,,46,2602-SG
Takeru Shiroiwa,A5007564965,accept,"National Institute of Public Health profile has a large, coherent Japanese health-economics and quality-of-life record, including Japanese EQ-5D-3L/5L norms, the EQ-5D-5L Japan value set, and DCE/TTO scoring comparison—directly matching both supplied projects.",Takeru Shiroiwa,0000-0003-3055-9932,National Institute of Public Health,,166,20180280;2098-RA
Teresa Tsui,A5089652474,accept,"Sunnybrook profile directly supports the cancer-utility project: it includes EQ-5D-3L health utilities in patients with cancer, real-world oncology EQ-5D collection in Ontario, the Breast Utility Instrument, and Canadian EQ-5D-5L valuation work.",Teresa Tsui,0000-0002-9806-9393,Sunnybrook Health Science Centre,,17,1456-PD
Tessa Peasgood,A5022446221,accept,"The University of Sheffield affiliation and extensive health-utility record are consistent with the supplied projects: the profile includes EQ-HWB development, EQ-5D-5L measurement work, child/adolescent valuation, content-validity research, and core EuroQol coauthors.",Tessa Peasgood,0000-0001-8024-7801,University of Sheffield,University of Sheffield,121,1823-RA;1916-RA;20180350;20190260;2207-RA;224-RA;2366-EO;2470-RA;2488-TVG;2493-RA;282-RA;348-PHD
Tie Parma Yamato,A5034831401,accept,"Name variant with matching ORCID and University of Sydney affiliation. Recent works directly compare EQ-5D-Y-3L/5L in children and review their measurement properties, consistent with both Brazilian youth EQ-5D projects.",Tiê Parma Yamato,0000-0002-5228-1292,The University of Sydney,,112,218-RA;220-VS
Titi Fitriana,A5049547434,accept,"Name expands to Titi Sahidah Fitriana with a coherent Indonesian EQ-5D record: Indonesian EQ-5D-5L and EQ-5D-Y value sets, youth EQ-5D-Y measurement papers, and Bahasa Indonesia EQ-5D-Y-5L adaptation.",Titi Sahidah Fitriana,0000-0001-5062-6886,Yarsi University,,18,20180490;20200010;2444-RA
thomas kohlmann,A5031953969,accept,"Exact name and Greifswald medical affiliation match. The record includes EQ-5D-5L interim scoring, an EQ-5D-5L psychometric review, quality-of-life/economic-evaluation work, and the stated EQ-5D scoring focus.",Thomas Kohlmann,0000-0002-5956-8309,Universitätsmedizin Greifswald,University of Greifswald,430,20170130
Tianxin Pan,A5044860561,accept,"Exact name, ORCID and University of Melbourne affiliation align. Frequent collaborators include Nancy Devlin and Brendan Mulhern, and works directly cover EQ-5D-Y valuation, EQ-5D ceiling effects, Chinese HRQoL, and child health.",Tianxin Pan,0000-0002-2243-8818,The University of Melbourne,,50,1472-PD;2284-BT;233-RA;2347-RA;428-RA
Tomos Robinson,A5048830550,accept,"The profile is coherently UK health-services/health-economics research: it includes EQ-5D/CHU-9D utility mapping and health-inequality work, with regular collaborators Luke Vale and Laura Ternent. The project on socioeconomic inequality in UK EQ-5D measures fits this record; a few isolated old items are not substantial contamination.",Tomos Robinson,0000-0001-8695-9738,St Nicholas Hospital,,63,2196-RA
Trudy Sullivan,A5022698267,accept,"Exact name and University of Otago affiliation. The record directly contains the adolescent EQ-5D valuation feasibility study and EQ-DAPHNIE publications, and its health-economic/quality-of-life work with Otago collaborators Sarah Derrett and Andrew Gray matches both supplied projects.",Trudy Sullivan,0000-0001-8452-2591,University of Otago,University of Otago,82,20180470;441-RA
Ulrike Ravens-Sieberer,A5049804622,accept,"The name, Hamburg affiliation, and extensive child/adolescent health-related quality-of-life record are coherent. It includes the foundational Development of the EQ-5D-Y paper and sustained KIDSCREEN/KINDL psychometric research, directly matching the supplied pediatric EQ-5D-Y project.",Ulrike Ravens‐Sieberer,0000-0002-2031-095X,Universität Hamburg,University Medical Center Hamburg-Eppendorf,462,2016270
Valentina Prevolnik Rupel,A5091343801,accept,"Exact name and a focused Slovenian health-economics/EQ-5D record. Works include EQ-5D-5L Value Set for Slovenia, EQ-5D-Y Value Set for Slovenia, Slovenian population norms, and Central/Eastern European EQ-5D research, directly supporting the listed valuation and elderly-population projects.",Valentina Prevolnik Rupel,0000-0002-1238-7156,,Institute for Economic Research,104,1687-RA;2013160;2013210;20170280;377-VS
victor zarate,A5074565937,accept,"The Merck/MSD affiliation, Latin American health-economics focus, and collaborations with Paul Kind and Federico Augustovski fit the supplied person. The record directly includes Chilean and Latin-American EQ-5D valuation, self-perceived-health, inequality, DALY/QALY, and health-reform studies; two 1931 duplicates are isolated contamination.",V Zárate,0000-0001-9145-3694,"Merck & Co., Inc., Rahway, NJ, USA (United States)",MSD,43,2015370;2016380;2016390;20170470;20170630;462-RA
Vincent Lau,A5022213392,accept,"Exact-name Alberta Health Services critical-care profile; ICU/sepsis work and repeated Bagshaw, Basmaji, and Rochwerg coauthorship directly fit the EQ-5D-5L critical-care validation project.",Vincent Lau,0000-0002-9939-7348,Alberta Health Services,,74,299-RA
Vivian Reckers-Droog,A5121459836,accept,"Exact-name Erasmus University Rotterdam health-economics record, with Mos, Knies, and Brouwer coauthors and work on societal preferences and healthcare valuation, coherent with the EQ-5D-Y valuation projects.",Vivian Reckers-droog,,Erasmus University Rotterdam,,9,1462-PHD;20190920;2154-RA
Wenjing Zhou,A5080372262,accept,"Exact-name profile has repeated Busschbach and Herdman coauthorship and articles explicitly validating Chinese EQ-5D-Y, EQ-TIPS, EQ-5D-5L, and EQ-HWB-S in children and carers—a direct project match.",Wenjing Zhou,0000-0003-0770-4564,,,,1654-TVG;1742-EO;1874-TVG;2152-RA
Willem van Veghel,A5003208889,accept,"Exact-name Sint Franciscus Gasthuis profile includes work on health outcomes, costs, and a Quality Cost Indicator model, consistent with the EQ-5D-5L value-based healthcare implementation project.",Willem H. P. van Veghel,,Sint Franciscus Gasthuis,,2,1584-SG
Wolfgang Greiner,A5001823062,accept,"Exact-name Bielefeld University profile includes the German EQ-5D-5L value set, EQ-5D-Y development and validation, and extensive health-economics work, directly matching the supplied EuroQol projects.",Wolfgang Greiner,0000-0001-9552-6969,Bielefeld University,Bielefeld University,570,1603-RA;2012020;2013200;2014030;2014160;2015200;2016530;20170020;20180010;20180260;20180510;2433-RA
Xuejing Jin,A5008581679,accept,"Exact name and Beijing University of Chinese Medicine affiliation. The record is coherent in health economics, quality of life, patient-reported outcomes, and multiple EQ-5D China studies, including the China EQ-5D-5L and EQ-5D-Y-3L value sets.",Xuejing Jin,0000-0003-3513-2364,Beijing University of Chinese Medicine,Beijing University of Chinese Medicine,61,217-EO;318-RA
Yared Belete Belay,A5086002810,accept,"Exact name and a coherent Ethiopian health-economics/quality-of-life record. It includes EQ-5D-5L validity in Ethiopian mental health, EQ-5D-Y-3L psychometrics in Ethiopian inpatients, and related HRQoL and mental-health research.",Yared Belete Belay,0000-0001-5473-3857,Monash Health,,33,1846-EO;229-RA;323-RA;327-RA;79-RA
You-Shan Feng,A5091571513,accept,"The Universitätsklinikum Tübingen affiliation matches exactly. The record has extensive EQ-5D/EQ-HWB psychometrics, EQ VAS, bolt-on, inequality, and population-norms publications, directly coherent with the listed EuroQol projects.",You‐Shan Feng,0000-0003-1509-3409,Universitätsklinikum Tübingen,"Medical University Tübingen, Germany",67,127-RA;1593-RA;1600-RA;1898-RA;1901-RA;1902-RA;2200-RA;2312-BT;2373-RA;2544-RA;329-RA
Yirga Legesse Niriayo,A5025678242,accept,"The Mekelle University profile is a coherent Ethiopian clinical-pharmacy and cardiovascular outcomes record. It includes heart-failure drug-therapy research and an EQ-5D health-related quality-of-life systematic review, consistent with the proposed EQ-5D-5L heart-failure study.",Yirga Legesse Niriayo,0000-0002-6943-753X,Mekelle University,,28,2563-RA
Yifan Ding,A5076822287,accept,"China-focused EQ-5D-Y and EQ-HWB quality-of-life studies directly match the cultural relevance and psychometric-evaluation project. Frequent coauthors include Zhihao Yang, Jan J.V. Busschbach, and Nan Luo, forming a coherent EuroQol research record.",Yifan Ding,0009-0006-8112-628X,,,,2188-TVG
Zhuxin Mao,A5002022038,accept,"Exact name and University of Antwerp affiliation, with a coherent health-economics and health-related quality-of-life record. Multiple EQ-5D/EQ-HWB China studies directly match the supplied EuroQol projects, and frequent collaborators include Antwerp health-economics researchers. The older agricultural papers are a limited early cluster, not enough to outweigh the strong matching record.",Zhuxin Mao,0000-0002-7444-1584,University of Antwerp,University of Antwerp,69,103-RA;1580-RA;1588-RA;20190990;20191000;2084-RA;2422-RA;398-RA
